"","lhs","rhs","support","confidence","lift","count"
"289","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.175438596491228,0.5,1.05555555555556,10
"394","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{person}",0.175438596491228,1,1,10
"395","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,person}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.175438596491228,1,2.11111111111111,10
"396","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.175438596491228,1,2.47826086956522,10
"397","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.175438596491228,1,2.85,10
"398","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.175438596491228,0.588235294117647,1.24183006535948,10
"10","{nannannannannanRoom1LampnannanOffnannannannannannanwebhook}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.157894736842105,0.5625,1.39402173913043,9
"11","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}","{nannannannannanRoom1LampnannanOffnannannannannannanwebhook}",0.157894736842105,0.391304347826087,1.39402173913043,9
"12","{nannannannannanRoom1LampnannanOffnannannannannannanwebhook}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.157894736842105,0.5625,1.1875,9
"13","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanRoom1LampnannanOffnannannannannannanwebhook}",0.157894736842105,0.333333333333333,1.1875,9
"16","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.157894736842105,0.391304347826087,0.826086956521739,9
"17","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}",0.157894736842105,0.333333333333333,0.826086956521739,9
